UniProt,Ensembl,Disease_ID,Disease_Name,Datasource_Scores,Score,Gene_Name
O00418,ENSG00000103319,EFO_0004741,blood urea nitrogen measurement,gwas_credible_sets:0.4475133345502418,0.2720571384149647,EEF2K
O00418,ENSG00000103319,EFO_0000571,lung adenocarcinoma,slapenrich:0.8274613634158176; europepmc:0.49208620673340664,0.2664773413347445,EEF2K
O00418,ENSG00000103319,MONDO_0011962,endometrial cancer,slapenrich:0.607930797611621; europepmc:0.012158615952232422,0.1851595071970355,EEF2K
O00418,ENSG00000103319,EFO_0000616,neoplasm,europepmc:0.9189931461693056,0.1117368472700638,EEF2K
O00444,ENSG00000142731,MONDO_0019342,Seckel syndrome,eva:0.8066601415082228; genomics_england:0.7176960805137194; orphanet:0.607930797611621; europepmc:0.10661079754115795,0.6413455090340472,PLK4
O00444,ENSG00000142731,EFO_0005772,neurodegenerative disease,crispr_screen:0.8693147953038408,0.528483236884647,PLK4
O00444,ENSG00000142731,HP_0011451,Primary microcephaly,genomics_england:0.607930797611621; europepmc:0.03343619386863916,0.3705961992850847,PLK4
O00444,ENSG00000142731,MONDO_0016660,autosomal recessive primary microcephaly,genomics_england:0.607930797611621; europepmc:0.021277577916406734,0.3702266194304,PLK4
O00444,ENSG00000142731,MONDO_0009624,microcephaly and chorioretinopathy 1,orphanet:0.607930797611621,0.3695798546847018,PLK4
O00444,ENSG00000142731,OBA_2045260,red blood cell density,gwas_credible_sets:0.5295704995152979,0.3219422161619196,PLK4
O00444,ENSG00000142731,EFO_0004528,mean corpuscular hemoglobin concentration,gwas_credible_sets:0.46269747601324324,0.2812880456456149,PLK4
O00444,ENSG00000142731,EFO_0004305,erythrocyte count,gwas_credible_sets:0.45414905869516536,0.2760911994871188,PLK4
O00444,ENSG00000142731,EFO_0001421,liver disease,gwas_credible_sets:0.41664569461412554,0.2532917494482132,PLK4
O00444,ENSG00000142731,EFO_0000304,breast adenocarcinoma,slapenrich:0.7449416750862422,0.2264364933546581,PLK4
O00506,ENSG00000115694,OBA_VT0001253,body height,gwas_credible_sets:0.5124341301413168,0.3115244894602279,STK25
O00506,ENSG00000115694,EFO_0004725,metabolite measurement,gwas_credible_sets:0.5100650642876332,0.3100842613662036,STK25
O00506,ENSG00000115694,EFO_0001421,liver disease,gwas_credible_sets:0.47300286213894693; europepmc:0.030396539880581056,0.2884769568894214,STK25
O00506,ENSG00000115694,EFO_0004532,serum gamma-glutamyl transferase measurement,gwas_credible_sets:0.4641652514728582,0.2821803515514933,STK25
O00506,ENSG00000115694,EFO_0006335,systolic blood pressure,gwas_credible_sets:0.44238286672902427,0.2689381690202912,STK25
O00506,ENSG00000115694,MONDO_0004975,Alzheimer disease,crispr_screen:0.4376989368428423; europepmc:0.060793079761162105,0.2679385630620511,STK25
O00506,ENSG00000115694,MONDO_0005180,Parkinson disease,crispr_screen:0.4376989368428423; europepmc:0.01823792392834863,0.2666450335706547,STK25
O00506,ENSG00000115694,MONDO_0005301,multiple sclerosis,crispr_screen:0.4376989368428423,0.2660906637886276,STK25
O00506,ENSG00000115694,MONDO_0002561,lysosomal storage disease,crispr_screen:0.4376989368428423,0.2660906637886276,STK25
O00506,ENSG00000115694,EFO_0005772,neurodegenerative disease,crispr_screen:0.4376989368428423,0.2660906637886276,STK25
O14578,ENSG00000122966,MONDO_0016660,autosomal recessive primary microcephaly,genomics_england:0.8897742701710087; eva:0.8856049732781833; uniprot_variants:0.8274613634158176; orphanet:0.607930797611621; uniprot_literature:0.607930797611621; impc:0.2632340353658319,0.7701820458088976,CIT
O14578,ENSG00000122966,EFO_0005772,neurodegenerative disease,crispr_screen:0.9119407863186659,0.5543968896012754,CIT
O14578,ENSG00000122966,OBA_0003277,platelet volume,gwas_credible_sets:0.7914874993340861,0.4811696267697984,CIT
O14578,ENSG00000122966,EFO_0000508,genetic disorder,eva:0.7746774081685972; europepmc:0.01823792392834863,0.4715046244216657,CIT
O14578,ENSG00000122966,HP_0011451,Primary microcephaly,genomics_england:0.607930797611621; gene2phenotype:0.607930797611621; europepmc:0.17822166810648685,0.4643825170412916,CIT
O14578,ENSG00000122966,EFO_0009188,Red cell distribution width,gwas_credible_sets:0.7166798456175311,0.4356917501784391,CIT
O14578,ENSG00000122966,OBA_1000840,alcohol consumption quality,gwas_credible_sets:0.5882185266018155,0.3575961580469742,CIT
O14578,ENSG00000122966,EFO_0000275,atrial fibrillation,gwas_credible_sets:0.5519261504409809; europepmc:0.1094275435700918,0.3388591235524594,CIT
O14578,ENSG00000122966,EFO_0004458,C-reactive protein measurement,gwas_credible_sets:0.5506429535288834,0.3347528099380328,CIT
O14578,ENSG00000122966,EFO_0004309,platelet count,gwas_credible_sets:0.5289033082560798,0.3215366100475437,CIT
O14730,ENSG00000101782,EFO_0010700,reticulocyte measurement,gene_burden:0.9339266936174192; gwas_credible_sets:0.9094709384327346,0.7059866480131222,RIOK3
O14730,ENSG00000101782,EFO_0007986,reticulocyte count,gene_burden:0.9251187233792788; gwas_credible_sets:0.9184687238140662,0.7019995193518128,RIOK3
O14730,ENSG00000101782,OBA_0002272,reticulocyte amount,gene_burden:0.7599134970145264,0.4619748183558772,RIOK3
O14730,ENSG00000101782,EFO_0004725,metabolite measurement,gwas_credible_sets:0.7168220708064637,0.4357782132509873,RIOK3
O14730,ENSG00000101782,EFO_0010158,sugar consumption measurement,gwas_credible_sets:0.6068966346645179,0.3689511551794089,RIOK3
O14730,ENSG00000101782,EFO_0007985,platelet crit,gwas_credible_sets:0.5061543049989768,0.3077067903525837,RIOK3
O14730,ENSG00000101782,EFO_0004309,platelet count,gwas_credible_sets:0.4881919429894199,0.2967869172891251,RIOK3
O14730,ENSG00000101782,EFO_0020092,neuroinflammatory disorder,crispr_screen:0.3201724954739998,0.1946427205468118,RIOK3
O14730,ENSG00000101782,EFO_0000508,genetic disorder,eva:0.19453785523571876,0.1182655534991045,RIOK3
O14730,ENSG00000101782,OBA_0003747,glomerular filtration rate,gwas_credible_sets:0.16761783837335617,0.1019000461762502,RIOK3
O14733,ENSG00000076984,EFO_0005772,neurodegenerative disease,crispr_screen:0.7581302949952654; europepmc:0.051163183667736596,0.4624459386827791,MAP2K7
O14733,ENSG00000076984,EFO_0020092,neuroinflammatory disorder,crispr_screen:0.7144341324061789,0.4343265119546548,MAP2K7
